district_std,samiti_raw,samiti_std
AJMER,ARAI,ARAIN
AJMER,ARAIN,ARAIN
AJMER,BHINAI,BHINAY
AJMER,BHINAY,BHINAY
AJMER,JAW AJA,JAWAJA
AJMER,JAWAJA,JAWAJA
AJMER,KEKRI,KEKRI
AJMER,KISHANGARH,KISHANGARH (SILORA)
AJMER,MASUDA,MASOODA
AJMER,PEESANGAN,PISANGAN
AJMER,PISANGAN,PISANGAN
AJMER,SHRINAGAR,SRINAGAR
AJMER,SRINAGAR,SRINAGAR
AJMER,SARWAD,SAWAR
AJMER,SARW AD,SAWAR
AJMER,SAWAR,SAWAR
AJMER,AJMER RURAL,AJMER RURAL
AJMER,AJMERRURAL,AJMER RURAL
ALWAR,BANSUR,BANSUR
ALWAR,BEHROR,BEHROR
ALWAR,KA THUMAR,KATHUMAR
ALWAR,KATHUMAR,KATHUMAR
ALWAR,KISHANGARH BAS,KISHANGARH BAS
ALWAR,KISHANGARHBAS,KISHANGARH BAS
ALWAR,KOTKASIM,KOTKASIM
ALWAR,LAXMANGARH,LAXMANGARH
ALWAR,MANDAWAR,MANDAWAR
ALWAR,MUNDAWAR,MANDAWAR
ALWAR,NEEMRANA,NEEMRANA
ALWAR,RAJGARH,RAJGARH
ALWAR,RAMGARH,RAMGARH
ALWAR,RAINI,RENI
ALWAR,REINI,RENI
ALWAR,RENI,RENI
ALWAR,THANAGAZI,THANAGAZI
ALWAR,TIJARA,TIJARA
ALWAR,UMRAIN,UMREN
ALWAR,UMREN,UMREN
ALWAR,GOVINDGARH,GOVINDGARH
ALWAR,MALAKHEDA,MALAKHEDA
BANSWARA,ANANDPURI,ANANDPURI
BANSWARA,ANADPURI,ANANDPURI
BANSWARA,ARA THUNA,ARTHUNA
BANSWARA,ARATHUNA,ARTHUNA
BANSWARA,BAGIDORA,BAGIDORA
BANSWARA,BANSWARA,BANSWARA
BANSWARA,BANSW ARA,BANSWARA
BANSWARA,CHHOTI SARVAN,CHHOTI SARWAN
BANSWARA,CHHOTISARVAN,CHHOTI SARWAN
BANSWARA,GANGAD TALAI,GANGAR TALAI
BANSWARA,GANGADTALAI,GANGAR TALAI
BANSWARA,GADHI,GARHI
BANSWARA,GARHI,GARHI
BANSWARA,GHATOL,GHATOL
BANSWARA,KUSHALGARH,KUSHALGARH
BANSWARA,PEEPALKHUNT,PEEPAL KHOONT
BANSWARA,PIPALKHUNT,PEEPAL KHOONT
BANSWARA,SAJJANGARH,SAJJANGARH
BANSWARA,TALWADA,TALWARA
BANSWARA,TALWARA,TALWARA
BARAN,ANT AH,ANTA
BARAN,ANT A,ANTA
BARAN,ANTA,ANTA
BARAN,ATARU,ATRU
BARAN,ATRU,ATRU
BARAN,BARAN,BARAN (FULL)
BARAN,CHHABRA,CHHABRA
BARAN,CHHIP ABAROD,CHHIPABAROD
BARAN,CHHIPABAROD,CHHIPABAROD
BARAN,KISHANGANJ,KISHANGANJ
BARAN,MANGROL,MANGROL
BARAN,SHAHABAD,SHAHBAD
BARAN,SHAHBAD,SHAHBAD
BARMER,AADEL,AADEL
BARMER,BALOTRA,BALOTRA
BARMER,BARMER,BARMER
BARMER,BARMER RURAL,BARMER RURAL
BARMER,BARMERRURAL,BARMER RURAL
BARMER,BAITU,BAYTOO
BARMER,BAYATU,BAYTOO
BARMER,BAYTU,BAYTOO
BARMER,BAYTOO,BAYTOO
BARMER,CHAUHA T AN,CHOHTAN
BARMER,CHAUHATAN,CHOHTAN
BARMER,CHOHT AN,CHOHTAN
BARMER,CHOHTAN,CHOHTAN
BARMER,DHANAU,DHANAU
BARMER,DHORIMANA,DHORIMANNA
BARMER,DHORIMANNA,DHORIMANNA
BARMER,FAGLIYA,FAGLIYA
BARMER,GADRAROAD,GADRA ROAD
BARMER,GADRA ROAD,GADRA ROAD
BARMER,GIDA,GIRA
BARMER,GUDHAMALANI,GUDHAMALANI
BARMER,KALYANPUR,KALYANPUR
BARMER,PATAUDI,PATODI
BARMER,PAYALA KALAN,PANYLA KLA
BARMER,PAYALAKALAN,PANYLA KLA
BARMER,RAMSAR,RAMSAR
BARMER,SAMDADI,SAMDARI
BARMER,SEDHAWA,SEDWA
BARMER,SHEO,SHEO
BARMER,SHIV,SHEO
BARMER,SINDHARI,SINDHARI
BARMER,SIW ANA,SIWANA
BARMER,SIWANA,SIWANA
BHARATPUR,BAYANA,BAYANA
BHARATPUR,BHUSAWAR,BHUSAWAR
BHARATPUR,DEEG,DEEG
BHARATPUR,KAMAN,KAMAN
BHARATPUR,KUMHER,KUMHER
BHARATPUR,NADBAI,NADBAI
BHARATPUR,NAGAR,NAGAR PAHARI
BHARATPUR,P AHADI,PAHARI
BHARATPUR,PAHADI,PAHARI
BHARATPUR,ROOPWAS,RUPBAS
BHARATPUR,RUPBAS,RUPBAS
BHARATPUR,SEW AR,SEWAR
BHARATPUR,SEWAR,SEWAR
BHARATPUR,UCHHAIN,UCHAIN
BHARATPUR,VAIR,WEIR
BHARATPUR,WEIR,WEIR
BHILWARA,ASIND,ASIND
BHILWARA,BADNOR,BADNOR
BHILWARA,BANERA,BANERA
BHILWARA,BIJAULIYA,BIJOLIYA
BHILWARA,HURDA,HURDA
BHILWARA,HURDA MANDAL,HURDA
BHILWARA,HURDAMANDAL,HURDA
BHILWARA,JAHAZPUR,JAHAZPUR
BHILWARA,KAREDA,KAREDA
BHILWARA,KOTRI,KOTRI
BHILWARA,MANDAL,MANDAL
BHILWARA,MANDALGARH,MANDALGARH
BHILWARA,P AHADI,MANDALGARH
BHILWARA,RAIPUR,RAIPUR
BHILWARA,SAHADA,SAHARA
BHILWARA,SAHARA,SAHARA
BHILWARA,SHAHPURA,SHAHPURA
BHILWARA,SUWANA,SUWANA
BIKANER,BAJJU (BAJJU KHALSA),BAJJU KHALSA
BIKANER,BIKANER,BIKANER
BIKANER,DUNGARGARH,SRI DUNGARGARH
BIKANER,KHAJUW ALA,KHAJUWALA
BIKANER,KHAJUWALA,KHAJUWALA
BIKANER,KOLAYAT,KOLAYAT
BIKANER,LOONKARANSAR,LUNKARANSAR
BIKANER,LUNKARANSAR,LUNKARANSAR
BIKANER,NOKHA,NOKHA
BIKANER,P ANCHU,PANCHOO
BIKANER,PANCHU,PANCHOO
BIKANER,PUGAL,POOGAL
BUNDI,BUNDI,BUNDI
BUNDI,HINDOLI,HINDOLI
BUNDI,K. PATAN,KESHORAIPATAN
BUNDI,K.PATAN,KESHORAIPATAN
BUNDI,KESHORAI PATAN,KESHORAIPATAN
BUNDI,KESHORAIPATAN,KESHORAIPATAN
BUNDI,NAINW A,NAINWA
BUNDI,NAINWA,NAINWA
BUNDI,T ALERA,TALERA
BUNDI,TALERA,TALERA
CHITTORGARH,ARNOD,ARNOD
CHITTORGARH,BADI SADRI,BARI SADRI
CHITTORGARH,BARISADRI,BARI SADRI
CHITTORGARH,BEGUN,BEGUN
CHITTORGARH,BHADESAR,BHADESAR
CHITTORGARH,BHENSRODGARH,BHAINSRORGARH
CHITTORGARH,BHAINSRORGARH,BHAINSRORGARH
CHITTORGARH,BHOP ALSAGAR,BHOPALSAGAR
CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR
CHITTORGARH,BHUPAL SAGAR,BHOPALSAGAR
CHITTORGARH,CHHITORGARH,CHITTORGARH
CHITTORGARH,CHHOTISADRI,CHHOTI SADRI
CHITTORGARH,CHHOTI SADARI,CHHOTI SADRI
CHITTORGARH,CHOTI SADRI,CHHOTI SADRI
CHITTORGARH,CHITTORGARH,CHITTORGARH
CHITTORGARH,DOONGL A,DUNGLA
CHITTORGARH,DOONGLA,DUNGLA
CHITTORGARH,DUNGL A,DUNGLA
CHITTORGARH,DUNGLA,DUNGLA
CHITTORGARH,GANGRAR,GANGRAR
CHITTORGARH,KAP ASAN,KAPASAN
CHITTORGARH,KAPASAN,KAPASAN
CHITTORGARH,NIMBAHERA,NIMBAHERA
CHITTORGARH,PRATAPGARH,PRATAPGARH
CHITTORGARH,RASHMI,RASHMI
CHITTAURGARH,ARNOD,ARNOD
CHITTAURGARH,BADI SADRI,BARI SADRI
CHITTAURGARH,BARISADRI,BARI SADRI
CHITTAURGARH,BEGUN,BEGUN
CHITTAURGARH,BHADESAR,BHADESAR
CHITTAURGARH,BHENSRODGARH,BHAINSRORGARH
CHITTAURGARH,BHAINSRORGARH,BHAINSRORGARH
CHITTAURGARH,BHOP ALSAGAR,BHOPALSAGAR
CHITTAURGARH,BHOPALSAGAR,BHOPALSAGAR
CHITTAURGARH,BHUPAL SAGAR,BHOPALSAGAR
CHITTAURGARH,CHHITORGARH,CHITTORGARH
CHITTAURGARH,CHHOTISADRI,CHHOTI SADRI
CHITTAURGARH,CHHOTI SADARI,CHHOTI SADRI
CHITTAURGARH,CHOTI SADRI,CHHOTI SADRI
CHITTAURGARH,CHITTORGARH,CHITTORGARH
CHITTAURGARH,DOONGL A,DUNGLA
CHITTAURGARH,DOONGLA,DUNGLA
CHITTAURGARH,DUNGL A,DUNGLA
CHITTAURGARH,DUNGLA,DUNGLA
CHITTAURGARH,GANGRAR,GANGRAR
CHITTAURGARH,KAP ASAN,KAPASAN
CHITTAURGARH,KAPASAN,KAPASAN
CHITTAURGARH,NIMBAHERA,NIMBAHERA
CHITTAURGARH,PRATAPGARH,PRATAPGARH
CHITTAURGARH,RASHMI,RASHMI
CHURU,BIDASAR,BIDASAR
CHURU,CHURU,CHURU
CHURU,RAJGARH,RAJGARH
CHURU,RATANGARH,RATANGARH
CHURU,SARDAR SHAHAR,SARDARSHAHAR
CHURU,SARDARSHAHAR,SARDARSHAHAR
CHURU,SUJANGARH,SUJANGARH
CHURU,T ARANAGAR,TARANAGAR
CHURU,TARANAGAR,TARANAGAR
DAUSA,BAIJUPADA,BAIJUPADA
DAUSA,BANDIKUI,BANDIKUI
DAUSA,BASWA,BASWA
DAUSA,DAUSA,DAUSA
DAUSA,LALSOT,LALSOT
DAUSA,LAWAN,LAWAN
DAUSA,MAHUW A,MAHWA
DAUSA,MAHUWA,MAHWA
DAUSA,MAHWA,MAHWA
DAUSA,NANGAL RAJAWATAN,NANGAL RAJAWATAN
DAUSA,NANGALRAJAWATAN,NANGAL RAJAWATAN
DAUSA,RAMGARH PACHWARA,RAMGARH PACHWARA
DAUSA,RAMGARHPACHWARA,RAMGARH PACHWARA
DAUSA,SIKANDRA,SIKANDARA
DAUSA,SIKRAI,SIKRAI
DHOLPUR,BARI,BARI
DHOLPUR,BASERI,BASERI
DHOLPUR,DHOLPUR,DHAULPUR
DHOLPUR,RAJAKHERA,RAJAKHERA
DHOLPUR,SAIP AU,SAIPAU
DHOLPUR,SAIPAU,SAIPAU
DHOLPUR,SARMATHURA,SARAMATHURA
DHAULPUR,BARI,BARI
DHAULPUR,BASERI,BASERI
DHAULPUR,DHOLPUR,DHAULPUR
DHAULPUR,DHAULPUR,DHAULPUR
DHAULPUR,RAJAKHERA,RAJAKHERA
DHAULPUR,SAIP AU,SAIPAU
DHAULPUR,SAIPAU,SAIPAU
DHAULPUR,SARMATHURA,SARAMATHURA
DUNGARPUR,ASPUR,ASPUR
DUNGARPUR,BICHHIW ARA,BICHIWARA
DUNGARPUR,BICHHIWARA,BICHIWARA
DUNGARPUR,BICHCHIWARA,BICHIWARA
DUNGARPUR,BICHIW ARA,BICHIWARA
DUNGARPUR,BICHIWARA,BICHIWARA
DUNGARPUR,CHIKHALI,CHIKHALI
DUNGARPUR,DOVADA,DOVADA
DUNGARPUR,DUNGARPUR,DUNGARPUR
DUNGARPUR,DUNGERPUR,DUNGARPUR
DUNGARPUR,GALIYA KOT,GALIYAKOAT
DUNGARPUR,GALIYAKOT,GALIYAKOAT
DUNGARPUR,JOTHALI,JOTHARI
DUNGARPUR,SABLA,SABLA
DUNGARPUR,SAGW ARA,SAGWARA
DUNGARPUR,SAGWARA,SAGWARA
DUNGARPUR,SIMALWARA,SIMALWARA
GANGANAGAR,ANUPGARH,ANUPGARH
GANGANAGAR,ANOOPGARH,ANUPGARH
GANGANAGAR,GANGANAGAR,GANGANAGAR
GANGANAGAR,GHADSANA,GHARSANA
GANGANAGAR,KARANPUR,KARANPUR
GANGANAGAR,P ADAMPUR,PADAMPUR
GANGANAGAR,PADAMPUR,PADAMPUR
GANGANAGAR,RAISNGHNAGAR,RAISINGHNAGAR
GANGANAGAR,RAISINGHNAGAR,RAISINGHNAGAR
GANGANAGAR,SADULSAHAR,SADULSHAHAR
GANGANAGAR,SADULSHAHAR,SADULSHAHAR
GANGANAGAR,SHRI VIJAYNAGAR,VIJAINAGAR
GANGANAGAR,SHRIVIJAYNAGAR,VIJAINAGAR
GANGANAGAR,SRI GANGANAGAR,GANGANAGAR
GANGANAGAR,SRIGANGANAGAR,GANGANAGAR
GANGANAGAR,SURA TGARH,SURATGARH
GANGANAGAR,SURATGARH,SURATGARH
HANUMANGARH,BHADRA,BHADRA
HANUMANGARH,H BHADRA,BHADRA
HANUMANGARH,H HANUMANGARH,HANUMANGARH
HANUMANGARH,HANUMANGARH,HANUMANGARH
HANUMANGARH,H NOHAR,NOHAR
HANUMANGARH,NOHAR,NOHAR
HANUMANGARH,H PILIBANGA,PILIBANGA
HANUMANGARH,PILIBANGA,PILIBANGA
HANUMANGARH,H RAWATSAR,RAWATSAR
HANUMANGARH,RAWATSAR,RAWATSAR
HANUMANGARH,H SANGARIYA,SANGARIA
HANUMANGARH,SANGARIYA,SANGARIA
HANUMANGARH,H TIBBI,TIBBI
HANUMANGARH,TIBI,TIBBI
HANUMANGARH,TIBBI,TIBBI
JAIPUR,AMER,AMBER
JAIPUR,AMBER,AMBER
JAIPUR,AANDHII,ANDHI
JAIPUR,AANDHI,ANDHI
JAIPUR,BASSI,BASSI
JAIPUR,CHAKSU,CHAKSU
JAIPUR,DUDU,DUDU
JAIPUR,GOVINDGARH,GOVINDGARH
JAIPUR,JALASU,JALSU
JAIPUR,JALSU,JALSU
JAIPUR,JAMW ARAMGARH,JAMWA RAMGARH
JAIPUR,JAMWA RAMGARH,JAMWA RAMGARH
JAIPUR,JAMWARAMGARH,JAMWA RAMGARH
JAIPUR,JHOTW ARA,JHOTWARA
JAIPUR,JHOTWARA,JHOTWARA
JAIPUR,JOBNER,JOBNER
JAIPUR,KISHANGARH RENWAL,KISHANGARH RENWAL
JAIPUR,KISHANGARHRENWAL,KISHANGARH RENWAL
JAIPUR,KOTKHAWADA,KOTKHAWADA
JAIPUR,KOTPUTLI,KOTPUTLI
JAIPUR,MADHORAJPUR,MADHORAJPURA
JAIPUR,MOZAMABAD,MAUZAMABAD
JAIPUR,PAWATA,PAOTA
JAIPUR,PHAGI,PHAGI
JAIPUR,SAHAPURA,SHAHPURA
JAIPUR,SAMBHAR,SAMBHAR
JAIPUR,SAMBHER,SAMBHAR
JAIPUR,SAMBHARLAKE,SAMBHAR
JAIPUR,SANGANER,SANGANER
JAIPUR,SHAHPURA,SHAHPURA
JAIPUR,TUNGA,TUNGA
JAIPUR,VIRA TNAGAR,VIRATNAGAR
JAIPUR,VIRATNAGAR,VIRATNAGAR
JAISALMER,BHANIYANA,BHANIYANA
JAISALMER,FATEHGARH,FATHEGARH
JAISALMER,JAISALMER,JAISALMER
JAISALMER,MOHANGARH,MOHANGARH
JAISALMER,NACHNA,NACHANA
JAISALMER,SAM,SAM
JAISALMER,SANKDA,SANKRA
JAISALMER,SANKARA,SANKRA
JAISALMER,SANKRA,SANKRA
JALORE,AHORE,AHORE
JALORE,BAGODA,BAGODA
JALORE,BHEENMAL,BHINMAL
JALORE,BHINMAL,BHINMAL
JALORE,CHITALWANA,CHITALWANA
JALORE,JALORE,JALORE
JALORE,JASW ANTPURA,JASWANTPURA
JALORE,JASWANTPURA,JASWANTPURA
JALORE,RANIW ARA,RANIWARA
JALORE,RANIWARA,RANIWARA
JALORE,SANCHORE,SANCHORE
JALORE,SARNAU,SARNAU
JALORE,SAYALA,SAYLA
JALORE,SAYLA,SAYLA
JALOR,AHORE,AHORE
JALOR,BAGODA,BAGODA
JALOR,BHEENMAL,BHINMAL
JALOR,BHINMAL,BHINMAL
JALOR,CHITALWANA,CHITALWANA
JALOR,JALORE,JALORE
JALOR,JALOR,JALORE
JALOR,JASW ANTPURA,JASWANTPURA
JALOR,JASWANTPURA,JASWANTPURA
JALOR,RANIW ARA,RANIWARA
JALOR,RANIWARA,RANIWARA
JALOR,SANCHORE,SANCHORE
