gp_code,gp_name,block_code,block_name,zp_code,zp_name
79004,Aad,1973,Kharkhoda,160,Meerut
79337,Aadampur,1982,Chhanvey,161,Mirzapur
44282,Aadampur Uparaura,1414,Bahria,111,Prayagraj
84470,Aagapur,2067,Chamraon,167,Rampur
79685,Aahi,1987,Majhawa,161,Mirzapur
266456,Aajnothi,1953,Chhata,158,Mathura
91161,Aalahaadadpur,2167,Dubepur,176,Sultanpur
274205,Aalamau,2161,Baldirai,176,Sultanpur
80059,Aa. La. Sultanpur,1993,Shikhar,161,Mirzapur
267887,Aama Ist,1567,Saltaua Gopal Pur,122,Basti
88982,Aamba,2133,Behta,174,Sitapur
89153,Aambaghat,2135,Gondlamau,174,Sitapur
89880,Aambi,2146,Pisawan,174,Sitapur
81810,Aamdar,2022,Barkhera,164,Pilibhit
90634,Aamdih,297517,Karma,175,Sonbhadra
85233,Aamki Dipchandpur Must,2076,Nagal,168,Saharanpur
91843,Aanapurnarayanganj,2178,P.P.Kamaicha,176,Sultanpur
84658,Aanga,2069,Saidnagar,167,Rampur
89675,Aant,2143,Misrikh,174,Sitapur
266694,Aaraji Bhorakh,2021,Amariya,164,Pilibhit
269659,Aarangi,2158,Robertsganj,175,Sonbhadra
91162,Aardih,2167,Dubepur,176,Sultanpur
297299,Aari Khera,1998,Bilari,162,Moradabad
45206,Aata,297887,Sahson,111,Prayagraj
93299,Aayar,2202,Harahua,178,Varanasi
266636,Ababakpur,2081,Sadauli Qadeem,168,Saharanpur
297178,Ababakpur,2002,Moradabad,162,Moradabad
268799,Abbaspur,1888,Pasgawan,150,Kheri
84953,Abbha,2072,Ballia Kheri,168,Saharanpur
269984,Abbupur,1965,Kopaganj,159,Mau
269362,Abdalpur Albela,2102,Jalalabad,171,Shahjahanpur
45094,Abdalpur Khas,1425,Mauaima,111,Prayagraj
74677,Abdul Chak Islam,1900,Ramkola,151,Kushi Nagar
269447,Abdullanagar Milkiya,2103,Kalan,171,Shahjahanpur
81325,Abdulla Nagar Urf Sonta,2013,Khatauli,163,Muzaffarnagar
85156,Abdullapur,2075,Muzaffarabad,168,Saharanpur
85234,Abdullapur,2076,Nagal,168,Saharanpur
85602,Abdullapur,2082,Sarsawan,168,Saharanpur
297284,Abdullapur,2001,Kundarki,162,Moradabad
85538,Abdullapur-Mazra Behat,2081,Sadauli Qadeem,168,Saharanpur
81608,Abdullapur Urf Morj Majra,2019,Thana Bhawan,259727,Shamli
77300,Abdulnabipur,1942,Barnahal,157,Mainpuri
81494,Abdul Pur,2016,Purkaji,163,Muzaffarnagar
82654,Abdul Wahidganj,2033,Kalakankar,165,Pratapgarh
83539,Abdu Mau,2048,Chhatoh,166,Rae Bareli
85366,Abha,2078,Nanauta,168,Saharanpur
44283,Abhaipur,1414,Bahria,111,Prayagraj
81967,Abhaipur Chaina Nakti,2024,Bisalpur,164,Pilibhit
82161,Abhaipur J. Jagatpur,2027,Puranpur,164,Pilibhit
82163,Abhaipur Madhopur,2027,Puranpur,164,Pilibhit
82162,Abhaipur M. Shahgarh,2027,Puranpur,164,Pilibhit
80602,Abhanpur Kundarki,2001,Kundarki,162,Moradabad
80226,Abhanpur Narauli,1998,Bilari,162,Moradabad
87159,Abhayan,2104,Kanth,171,Shahjahanpur
88593,Abhaypur,2127,Lotan,173,Siddharth Nagar
90911,Abhiyankalan,2162,Bhadaiya,176,Sultanpur
92000,Abhusha,2182,Asoha,177,Unnao
74018,Abhyapur,1890,Ramia Behar,150,Kheri
80977,Abudullapur Leda,2006,Thakurdwara,162,Moradabad
80894,Abu Nagar,2005,Sambhal,259726,Sambhal
266923,Achalgarh,1929,Lakshmipur,155,Maharajganj
75706,Achalikhera,1917,Mohanlalganj,153,Lucknow
77429,Achalpur,1944,Ghiror,157,Mainpuri
75357,Acharamau,1911,Bakshi-Ka-Talab,153,Lucknow
87767,Acharaura Shahpur,2116,Jamunaha,172,Shravasti
84193,Achhai,2062,Shivgarh,166,Rae Bareli
73111,Achhnia,1877,Behjam,150,Kheri
45560,Achhola Uparhar,1432,Uruwan,111,Prayagraj
73521,Achhraula,1883,Mitauli,150,Kheri
86040,Achhti,2088,Nath Nagar,169,Sant Kabeer Nagar
79139,Achi Khurd,1977,Parikshitgarh,160,Meerut
79500,Achitpur,1984,Jamalpur,161,Mirzapur
270330,Achlupur,1418,Holagarh,111,Prayagraj
267456,Achroura,1880,Isanagar,150,Kheri
78217,Achru Ladhora,1960,Raya,158,Mathura
81536,Adaampur,2017,Shahpur,163,Muzaffarnagar
72762,Adahara,1871,Manjhanpur,149,Kaushambi
73746,Adalabad,1886,Nighasan,150,Kheri
270955,Adalganj,2153,Chopan,175,Sonbhadra
80525,Adalpur,2000,Dilari,162,Moradabad
80060,Adalpura,1993,Shikhar,161,Mirzapur
80448,Adalpur Jogi Siniali,1999,Chhajlet,162,Moradabad
44816,Adampur,1422,Kaurihar,111,Prayagraj
78485,Adampur,1964,Ghosi,159,Mau
80227,Adampur,1996,Baniyakhera,259726,Sambhal
81575,Adampur,2018,Shamli,259727,Shamli
83416,Adampur,2045,Amawan,166,Rae Bareli
93300,Adampur,2202,Harahua,178,Varanasi
265276,Adampur,1915,Mal,153,Lucknow
266444,Adampur,1953,Chhata,158,Mathura
270642,Adampur,1962,Dohri Ghat,159,Mau
297207,Adampur,2000,Dilari,162,Moradabad
92397,Adampur Barethi,2189,Hasanganj,177,Unnao
92398,Adampur Bhansi,2189,Hasanganj,177,Unnao
73420,Adampur Devariya,1882,Lakhimpur,150,Kheri
75514,Adampur Mitauli,1913,Gosaiganj,153,Lucknow
81326,Adampur Mochri,2013,Khatauli,163,Muzaffarnagar
75471,Adampur Naubasta,1913,Gosaiganj,153,Lucknow
44817,Adampur Urf Madaripur,296951,Bhagwatpur,111,Prayagraj
92649,Adaoli,2193,Purwa,177,Unnao
92063,Adaora,2183,Auras,177,Unnao
78545,Adari,1965,Kopaganj,159,Mau
76784,Adbadhwa,1934,Paniyara,155,Maharajganj
92169,Aderwa,2185,Bichhiya,177,Unnao
73421,Adha Chat,1882,Lakhimpur,150,Kheri
72935,Adhaoli,1874,Sarsawan,149,Kaushambi
83227,Adharpur,2042,Sandwa Chandrika,165,Pratapgarh
91844,Adhiyari,2178,P.P.Kamaicha,176,Sultanpur
81811,Adhkata,2022,Barkhera,164,Pilibhit
80812,Adhola,2004,Panwasa,259726,Sambhal
80813,Adholi Mafi,2004,Panwasa,259726,Sambhal
272018,Adhurj Pur,2186,Bighapur,177,Unnao
79806,Adhwar,1989,Narainpur,161,Mirzapur
85297,Adhyana,2077,Nakur,168,Saharanpur
83573,Adilabad,2049,Dalmau,166,Rae Bareli
268337,Adilabad Bisalpur,2024,Bisalpur,164,Pilibhit
72763,Adilpur,1871,Manjhanpur,149,Kaushambi
89485,Adilpur,2140,Machhrehta,174,Sitapur
77985,Ading,1955,Govardhan,158,Mathura
73250,Adlishpur,1879,Dhaurhara,150,Kheri
88983,Admalpur,2133,Behta,174,Sitapur
93559,Admapur,2205,Sevapuri,178,Varanasi
74678,Adrauna,1900,Ramkola,151,Kushi Nagar
88908,Advenia Grant,2132,Ailiya,174,Sitapur
75132,Adwaha,1907,Jakhaura,152,Lalitpur
90103,Adwari,2149,Sakran,174,Sitapur
87714,Aelahwa,2115,Hariharpur Rani,172,Shravasti
87079,Aelam Nagar,2102,Jalalabad,171,Shahjahanpur
87063,Afatiapur,2102,Jalalabad,171,Shahjahanpur
55990,Afjalpur,1586,Gunnaur,259726,Sambhal
72652,Afjalpur Shanton,1869,Kara,149,Kaushambi
78920,Afjalpur Urf Raninagla,1971,Hastinapur,160,Meerut
89960,Afsariya,2147,Rampur Mathura,174,Sitapur
89738,Afsariya Hussainpur,2144,Pahala,174,Sitapur
272041,Aftab Nagar,2049,Dalmau,166,Rae Bareli
80814,Afzalpur Darawli,2004,Panwasa,259726,Sambhal
84469,Afzalpur Patti,2067,Chamraon,167,Rampur
78962,Afzalpur Pawati,1972,Janikhurd,160,Meerut
72988,Afzalpur Wari,1875,Sirathu,149,Kaushambi
45207,Agahua,1427,Phulpur,111,Prayagraj
82838,Agai,2036,Lalganj,165,Pratapgarh
