dist_name_new_2010,samiti_name_new_2010,gp_new_2010,lgd_block_code,lgd_block_name,lgd_gp_code,lgd_gp_name,match_type
AJMER,MASOODA,loolwa,1154,Masooda,33769,Loolwa,exact
ALWAR,LAXMANGARH,mojpur,1162,Laxmangarh,34051,Mojpur,exact
BANSWARA,GHATOL,jagpura,1175,Ghatol,294683,Kanpura,fuzzy
BARMER,BARMER,meethda,1187,Barmer,34960,Meethra,fuzzy
BARMER,CHOHTAN,chohtan,1189,Chohtan,295534,Chohtan Aagor,fuzzy
BHARATPUR,SEWAR,jaghina,1201,Sewar,35558,Jaghina,exact
BHILWARA,RAIPUR,raipur,1210,Raipur,35892,Raipur,exact
BUNDI,HINDOLI,hindoli,1219,Hindoli,36232,Hindoli,exact
DUNGARPUR,BICHIWARA,aamjhara,1253,Bichiwara,37457,Amajara,fuzzy
DUNGARPUR,BICHIWARA,chundawada,1253,Bichiwara,37465,Chundawara,fuzzy
GANGANAGAR,SADULSHAHAR,dungarsinghpura,1262,Sadulshahar,37905,Dungarsinghpura,exact
GANGANAGAR,SADULSHAHAR,lalgarh jatan,1262,Sadulshahar,37914,Lalgarh Jatan,exact
JAIPUR,KOTPUTLI,dwarkapura,1274,Kotputli,38515,Kanwarpura,fuzzy
JALOR,RANIWARA,ranivada kala,1287,Raniwara,38987,Raniwara Kalan,fuzzy
JHUNJHUNUN,UDAIPURWATI,guda,1303,Udaipurwati,39582,Guda,exact
JHUNJHUNUN,UDAIPURWATI,gudha gorji,1303,Udaipurwati,39583,Gudha Gorji,exact
JHUNJHUNUN,UDAIPURWATI,ponkh,1303,Udaipurwati,39598,Ponkh,exact
JODHPUR,BALESAR,balesar durgavata,1304,Balesar,39606,Balesar Durgawata,fuzzy
JODHPUR,LUNI,luni,1308,Luni,39775,Luni,exact
JODHPUR,OSIAN,samrau,1310,Osian,39878,Samrau,exact
KARAULI,HINDAUN,jagar,1313,Hindaun,39974,Jagar,exact
SIKAR,PIPRALI,harsh,1362,Piprali,262155,Dharamshala,fuzzy
SIROHI,SIROHI,jawal,1368,Sirohi,41977,Jawal,exact
UDAIPUR,SARADA,sarada,1385,Sarada,42717,Sarada,exact
