elex_district,elex_samiti,lgd_district,lgd_block_name,lgd_block_code,match_type
ajmer,ARAI,Ajmer,Arain,1149,spelling
ajmer,ARAIN,Ajmer,Arain,1149,spelling
ajmer,BHINAI,Ajmer,Bhinay,1150,spelling
ajmer,BHINAY,Ajmer,Bhinay,1150,exact
ajmer,JAW AJA,Ajmer,Jawaja,1151,ocr_space
ajmer,JAWAJA,Ajmer,Jawaja,1151,exact
ajmer,KEKRI,Ajmer,Kekri,1152,exact
ajmer,KISHANGARH,Ajmer,Kishangarh (Silora),1153,exact
ajmer,MASUDA,Ajmer,Masooda,1154,spelling
ajmer,PEESANGAN,Ajmer,Pisangan,1155,spelling
ajmer,PISANGAN,Ajmer,Pisangan,1155,exact
ajmer,SHRINAGAR,Ajmer,Srinagar,1156,spelling
ajmer,SRINAGAR,Ajmer,Srinagar,1156,exact
ajmer,SARWAD,Ajmer,Sawar,295478,spelling
ajmer,SARW AD,Ajmer,Sawar,295478,ocr_space
ajmer,SAWAR,Ajmer,Sawar,295478,exact
ajmer,AJMER RURAL,Ajmer,Ajmer Rural,295190,new_block
ajmer,AJMERRURAL,Ajmer,Ajmer Rural,295190,new_block
alwar,BANSUR,Alwar,Bansur,1157,exact
alwar,BEHROR,Alwar,Behror,1158,exact
alwar,KA THUMAR,Alwar,Kathumar,1159,ocr_space
alwar,KATHUMAR,Alwar,Kathumar,1159,exact
alwar,KISHANGARH BAS,Alwar,Kishangarh Bas,1160,exact
alwar,KISHANGARHBAS,Alwar,Kishangarh Bas,1160,spelling
alwar,KOTKASIM,Alwar,Kotkasim,1161,exact
alwar,LAXMANGARH,Alwar,Laxmangarh,1162,exact
alwar,MANDAWAR,Alwar,Mandawar,1163,exact
alwar,MUNDAWAR,Alwar,Mandawar,1163,spelling
alwar,NEEMRANA,Alwar,Neemrana,1164,exact
alwar,RAJGARH,Alwar,Rajgarh,1165,exact
alwar,RAMGARH,Alwar,Ramgarh,1166,exact
alwar,RAINI,Alwar,Reni,1167,spelling
alwar,REINI,Alwar,Reni,1167,spelling
alwar,RENI,Alwar,Reni,1167,exact
alwar,THANAGAZI,Alwar,Thanagazi,1168,exact
alwar,TIJARA,Alwar,Tijara,1169,exact
alwar,UMRAIN,Alwar,Umren,1170,spelling
alwar,UMREN,Alwar,Umren,1170,exact
alwar,GOVINDGARH,Alwar,Govindgarh,295311,new_block
alwar,MALAKHEDA,Alwar,Malakheda,295372,new_block
banswara,ANANDPURI,Banswara,Anandpuri,1171,exact
banswara,ANADPURI,Banswara,Anandpuri,1171,spelling
banswara,ARA THUNA,Banswara,Arthuna,262584,ocr_space
banswara,ARATHUNA,Banswara,Arthuna,262584,new_block
banswara,BAGIDORA,Banswara,Bagidora,1172,exact
banswara,BANSWARA,Banswara,Banswara,1173,exact
banswara,BANSW ARA,Banswara,Banswara,1173,ocr_space
banswara,CHHOTI SARVAN,Banswara,Chhoti Sarwan,6835,spelling
banswara,CHHOTISARVAN,Banswara,Chhoti Sarwan,6835,spelling
banswara,GANGAD TALAI,Banswara,Gangar Talai,262567,spelling
banswara,GANGADTALAI,Banswara,Gangar Talai,262567,new_block
banswara,GADHI,Banswara,Garhi,1174,spelling
banswara,GARHI,Banswara,Garhi,1174,exact
banswara,GHATOL,Banswara,Ghatol,1175,exact
banswara,KUSHALGARH,Banswara,Kushalgarh,1176,exact
banswara,PEEPALKHUNT,Banswara,Peepal Khoont,1177,spelling
banswara,PIPALKHUNT,Banswara,Peepal Khoont,1177,spelling
banswara,SAJJANGARH,Banswara,Sajjangarh,1178,exact
banswara,TALWADA,Banswara,Talwara,262588,spelling
banswara,TALWARA,Banswara,Talwara,262588,new_block
baran,ANT AH,Baran,Anta,1179,ocr_space
baran,ANT A,Baran,Anta,1179,ocr_space
baran,ANTA,Baran,Anta,1179,exact
baran,ATARU,Baran,Atru,1180,spelling
baran,ATRU,Baran,Atru,1180,exact
baran,BARAN,Baran,Baran (Full),1181,exact
baran,CHHABRA,Baran,Chhabra,1182,exact
baran,CHHIP ABAROD,Baran,Chhipabarod,1183,ocr_space
baran,CHHIPABAROD,Baran,Chhipabarod,1183,exact
baran,KISHANGANJ,Baran,Kishanganj,1184,exact
baran,MANGROL,Baran,Mangrol,295475,new_block
baran,SHAHABAD,Baran,Shahbad,1185,spelling
baran,SHAHBAD,Baran,Shahbad,1185,exact
barmer,AADEL,Barmer,Aadel,295254,new_block
barmer,BALOTRA,Barmer,Balotra,1186,exact
barmer,BARMER,Barmer,Barmer,1187,exact
barmer,BARMER RURAL,Barmer,Barmer Rural,295251,new_block
barmer,BARMERRURAL,Barmer,Barmer Rural,295251,new_block
barmer,BAITU,Barmer,Baytoo,1188,spelling
barmer,BAYATU,Barmer,Baytoo,1188,spelling
barmer,BAYTU,Barmer,Baytoo,1188,spelling
barmer,BAYTOO,Barmer,Baytoo,1188,exact
barmer,CHAUHA T AN,Barmer,Chohtan,1189,ocr_space
barmer,CHAUHATAN,Barmer,Chohtan,1189,spelling
barmer,CHOHT AN,Barmer,Chohtan,1189,ocr_space
barmer,CHOHTAN,Barmer,Chohtan,1189,exact
barmer,DHANAU,Barmer,Dhanau,262617,new_block
barmer,DHORIMANA,Barmer,Dhorimanna,1190,spelling
barmer,DHORIMANNA,Barmer,Dhorimanna,1190,exact
barmer,FAGLIYA,Barmer,Fagliya,295252,new_block
barmer,GADRAROAD,Barmer,Gadra Road,262776,new_block
barmer,GADRA ROAD,Barmer,Gadra Road,262776,new_block
barmer,GIDA,Barmer,Gira,262778,spelling
barmer,GUDHAMALANI,Barmer,Gudhamalani,262692,new_block
barmer,KALYANPUR,Barmer,Kalyanpur,262773,new_block
barmer,PATAUDI,Barmer,Patodi,262727,spelling
barmer,PAYALA KALAN,Barmer,Panyla Kla,295259,spelling
barmer,PAYALAKALAN,Barmer,Panyla Kla,295259,spelling
barmer,RAMSAR,Barmer,Ramsar,262681,new_block
barmer,SAMDADI,Barmer,Samdari,262774,spelling
barmer,SEDHAWA,Barmer,Sedwa,262545,spelling
barmer,SHEO,Barmer,Sheo,1191,exact
barmer,SHIV,Barmer,Sheo,1191,spelling
barmer,SINDHARI,Barmer,Sindhari,1192,exact
barmer,SIW ANA,Barmer,Siwana,1193,ocr_space
