elex_district,elex_block,reason
Siddharth Nagar,Vardpur No. 12,urban_ward
Siddharth Nagar,Vardpur No. 17,urban_ward
Siddharth Nagar,Vardpur No. 18,urban_ward
Siddharth Nagar,Vardpur No. 19,urban_ward
Siddharth Nagar,Vardpur No. 21,urban_ward
Siddharth Nagar,Vardpur No. 22,urban_ward
Siddharth Nagar,Vardpur No. 26,urban_ward
Siddharth Nagar,Vardpur No. 27,urban_ward
Siddharth Nagar,Vardpur No. 28,urban_ward
Siddharth Nagar,Vardpur No. 30,urban_ward
Siddharth Nagar,Vardpur No. 31,urban_ward
Siddharth Nagar,Vardpur No. 34,urban_ward
Siddharth Nagar,Vardpur No. 36,urban_ward
Siddharth Nagar,Vardpur No. 37,urban_ward
Siddharth Nagar,Vardpur No. 38,urban_ward
Siddharth Nagar,Vardpur No. 39,urban_ward
Siddharth Nagar,Vardpur No. 41,urban_ward
Siddharth Nagar,Vardpur No. 42,urban_ward
Siddharth Nagar,Wardpur No 09,urban_ward
Siddharth Nagar,Wardpur No 10,urban_ward
Siddharth Nagar,Wardpur No 11,urban_ward
Siddharth Nagar,Wardpur No 13,urban_ward
Siddharth Nagar,Wardpur No 14,urban_ward
Siddharth Nagar,Wardpur No 15,urban_ward
Siddharth Nagar,Wardpur No 16,urban_ward
Siddharth Nagar,Wardpur No 20,urban_ward
Siddharth Nagar,Wardpur No 23,urban_ward
Siddharth Nagar,Wardpur No 24,urban_ward
Siddharth Nagar,Wardpur No 25,urban_ward
Siddharth Nagar,Wardpur No 29,urban_ward
Siddharth Nagar,Wardpur No 32,urban_ward
Siddharth Nagar,Wardpur No 33,urban_ward
Siddharth Nagar,Wardpur No 35,urban_ward
Siddharth Nagar,Wardpur No 40,urban_ward
Siddharth Nagar,Wardpur No 43,urban_ward
