elex_district,lgd_district,lgd_zp_code,match_type
Agra,Agra,101,exact
Ambedkar Nagar,Ambedkar Nagar,103,exact
Auraiya,Auraiya,106,exact
Bahraich,Bahraich,108,exact
Balrampur,Balrampur,110,exact
Banda,Banda,111,exact
Barabanki,Barabanki,112,exact
Bareilly,Bareilly,113,exact
Basti,Basti,114,exact
Budaun,Budaun,118,exact
Bulandshahr,Bulandshahr,125,exact
Chandauli,Chandauli,126,exact
Chitrakoot,Chitrakoot,127,exact
Fatehpur,Fatehpur,130,exact
Firozabad,Firozabad,131,exact
Gautam Buddha Nagar,Gautam Buddha Nagar,132,exact
Ghaziabad,Ghaziabad,133,exact
Ghazipur,Ghazipur,134,exact
Gonda,Gonda,135,exact
Gorakhpur,Gorakhpur,136,exact
Hamirpur,Hamirpur,137,exact
Hardoi,Hardoi,139,exact
Hathras,Hathras,140,exact
Jalaun,Jalaun,141,exact
Jaunpur,Jaunpur,142,exact
Kannauj,Kannauj,144,exact
Kanpur Nagar,Kanpur Nagar,146,exact
Kaushambi,Kaushambi,148,exact
Lalitpur,Lalitpur,151,exact
Lucknow,Lucknow,152,exact
Maharajganj,Maharajganj,153,exact
Mahoba,Mahoba,154,exact
Mainpuri,Mainpuri,155,exact
Mau,Mau,157,exact
Meerut,Meerut,160,exact
Mirzapur,Mirzapur,161,exact
Pilibhit,Pilibhit,162,exact
Pratapgarh,Pratapgarh,163,exact
Rampur,Rampur,167,exact
Saharanpur,Saharanpur,168,exact
Sant Kabeer Nagar,Sant Kabeer Nagar,169,exact
Sant Ravidas Nagar,Sant Ravidas Nagar,170,exact
Shravasti,Shravasti,173,exact
Siddharth Nagar,Siddharth Nagar,174,exact
Sitapur,Sitapur,175,exact
Sonbhadra,Sonbhadra,176,exact
Sultanpur,Sultanpur,177,exact
Unnao,Unnao,178,exact
Varanasi,Varanasi,179,exact
Bagpat,Baghpat,107,spelling
Baliya,Ballia,109,spelling
Bijnaur,Bijnor,123,spelling
Itawah,Etawah,129,spelling
Jhanshi,Jhansi,143,spelling
Muradabad,Moradabad,162,spelling
Muzzafarnagar,Muzaffarnagar,166,spelling
Rae bareli,Rae Bareli,165,spelling
Shahjahnapur,Shahjahanpur,171,spelling
Allahabad,Prayagraj,164,renamed
Faizabad,Ayodhya,105,renamed
Jyotiba Phule Nagar,Amroha,104,renamed
Kushinagar,Kushi Nagar,150,spelling
Lakhimpur Khiri,Kheri,149,renamed
