district_std,samiti_raw,samiti_std
AJMER,ARAIN,ARAI
AJMER,BHINAI,BHINAY
AJMER,JAWAJA,JAWAJA
AJMER,KEKRI,KEKRI
AJMER,KISHANGARH,KISHANGARH
AJMER,MASUDA,MASUDA
AJMER,PISANGAN,PEESANGAN
AJMER,SHRINAGAR,SRINAGAR
ALWAR,BANSUR,BANSUR
ALWAR,BEHROR,BEHROR
ALWAR,KATHUMAR,KATHUMAR
ALWAR,KISHANGARH BAS,KISHANGARHBAS
ALWAR,KOTKASIM,KOTKASIM
ALWAR,LAXMANGARH,LAXMANGARH
ALWAR,MUNDAWAR,MUNDAWAR
ALWAR,NEEMRANA,NEEMRANA
ALWAR,RAJGARH,RAJGARH
ALWAR,RAMGARH,RAMGARH
ALWAR,REINI,RAINI
ALWAR,THANAGAZI,THANAGAZI
ALWAR,TIJARA,TIJARA
ALWAR,UMRAIN,UMRAIN
BANSWARA,ANANDPURI,ANANDPURI
BANSWARA,BAGIDORA,BAGIDORA
BANSWARA,GARHI,GARHI
BANSWARA,GHATOL,GHATOL
BANSWARA,KUSHALGARH,KUSHALGARH
BANSWARA,PEEPALKHUNT,PIPALKHUNT
BANSWARA,SAJJANGARH,SAJJANGARH
BANSWARA,TALWARA,TALWADA
BARAN,ANTA,ANTA
BARAN,ATRU,ATRU
BARAN,BARAN,BARAN
BARAN,CHHABRA,CHHABRA
BARAN,CHHIPABAROD,CHHIPABAROD
BARAN,KISHANGANJ,KISHANGANJ
BARAN,SHAHABAD,SHAHBAD
BARMER,BAITU,BAYTU
BARMER,BALOTRA,BALOTRA
BARMER,BARMER,BARMER
BARMER,CHOHTAN,CHAUHATAN
BARMER,DHORIMANA,DHORIMANNA
BARMER,SHEO,SHEO
BARMER,SINDHARI,SINDHARI
BARMER,SIWANA,SIWANA
BHARATPUR,BAYANA,BAYANA
BHARATPUR,DEEG,DEEG
BHARATPUR,KAMAN,KAMAN
BHARATPUR,KUMHER,KUMHER
BHARATPUR,NADBAI,NADBAI
BHARATPUR,NAGAR,NAGAR
BHARATPUR,ROOPWAS,ROOPWAS
BHARATPUR,SEWAR,SEWAR
BHARATPUR,WEIR,VAIR
BHILWARA,ASIND,ASIND
BHILWARA,BANERA,BANERA
BHILWARA,HURDA,HURDA
BHILWARA,JAHAZPUR,JAHAZPUR
BHILWARA,KOTRI,KOTRI
BHILWARA,MANDAL,MANDAL
BHILWARA,MANDALGARH,MANDALGARH
BHILWARA,RAIPUR,RAIPUR
BHILWARA,SAHADA,SAHARA
BHILWARA,SHAHPURA,SHAHPURA
BHILWARA,SUWANA,SUWANA
BIKANER,BIKANER,BIKANER
