order,gp_name,gp_villages,panchayat_samiti,district,verified_or_not,gp_name_goog_translate,gp_village_goog_translate,ps_goog_translate
1,__________,__________,_____,ajmer,1,sandaulia,sandaulia,arai
2,__________,___,_____,ajmer,1,sandaulia,seal,arai
3,__________,________,_____,ajmer,1,sandaulia,kakalwada,arai
4,__________,_______,_____,ajmer,1,sandaulia,gundali,arai
5,__________,____,_____,ajmer,1,sandaulia,muth,arai
6,____,____,_____,ajmer,1,dusuk,dusuk,arai
7,____,________,_____,ajmer,1,dusuk,balapura,arai
8,____,__________,_____,ajmer,1,dusuk,pandarwada,arai
9,____,__________ ___,_____,ajmer,1,dusuk,mandiavad art,arai
10,____,__________ _____,_____,ajmer,1,dusuk,mandiavad khurd,arai
11,____,________,_____,ajmer,1,dusuk,kishanpura,arai
12,_______,_______,_____,ajmer,1,malpura,malpura,jawaja
13,_______,_____,_____,ajmer,1,malpura,byla,jawaja
14,_______,________,_____,ajmer,1,malpura,mandeda,jawaja
15,_______,_________,_____,ajmer,1,malpura,bhawanikheda,jawaja
16,_______,_______ _____ __ ____,_____,ajmer,1,malpura,rampura gundo's bala,jawaja
17,______,______,_____,ajmer,1,media,media,jawaja
18,______,_____ __ ______,_____,ajmer,1,media,chhaparo badia,jawaja
19,______,________,_____,ajmer,1,media,dugarkheda,jawaja
20,______,________,_____,ajmer,1,media,shobhapura,jawaja
21,______,_______ ________,_____,ajmer,1,media,rampura mewatia,jawaja
22,______ _____,______ _____,_____,ajmer,1,jalia first,jalia first,jawaja
23,______ _____,______ ______,_____,ajmer,1,jalia first,badia shyama,jawaja
24,______ _____,______ ___,_____,ajmer,1,jalia first,badia awake,jawaja
25,______ _____,_____ _______,_____,ajmer,1,jalia first,ramsar balaiyan,jawaja
26,______ _____,________,_____,ajmer,1,jalia first,malipura,jawaja
27,______ _____,_______,_____,ajmer,1,jalia first,sowania,jawaja
28,______ _____,______,_____,ajmer,1,jalia first,baniwadi,jawaja
29,______ _____,_______ ____________,_____,ajmer,1,jalia first,thikrana mendratan,jawaja
30,______ _____,______,_____,ajmer,1,jalia first,khejdla,jawaja
31,________ ______,________ ______,_____,ajmer,1,nundri maldev,nundri maldev,jawaja
32,________ ______,__________,_____,ajmer,1,nundri maldev,shivnathpura,jawaja
33,________ ______,________,_____,ajmer,1,nundri maldev,ganeshpura,jawaja
34,________ ______,_______ ____,_____,ajmer,1,nundri maldev,govind pura,jawaja
35,_______,_______,_____,ajmer,1,delwara,delwara,jawaja
36,_______,________,_____,ajmer,1,delwara,mandavas,jawaja
37,_______,________ _______,_____,ajmer,1,delwara,daulatpura balaiyan,jawaja
38,_______,_______,_____,ajmer,1,delwara,lasadia,jawaja
39,_______,_______,_____,ajmer,1,delwara,sheshpura,jawaja
40,_______,_______-_____,_____,ajmer,1,delwara,lassani-first,jawaja
41,______,______,_____,ajmer,1,suhawa,suhawa,jawaja
42,______,_________,_____,ajmer,1,suhawa,khirnikheda,jawaja
43,______,______,_____,ajmer,1,suhawa,lakhina,jawaja
44,______,_______ _____,_____,ajmer,1,suhawa,fatehpur first,jawaja
45,______,_______ ______,_____,ajmer,1,suhawa,thikrana gujran,jawaja
46,______,_______ ____,_____,ajmer,1,suhawa,ratanpura is false,jawaja
47,______,__________,_____,ajmer,1,suhawa,pakharwas,jawaja
48,______,______ ___,_____,ajmer,1,suhawa,badiya bhau,jawaja
49,________,________,_____,ajmer,1,sarmalia,sarmalia,jawaja
50,________,_____ ____,_____,ajmer,1,sarmalia,bhavani kheda,jawaja
51,________,______,_____,ajmer,1,sarmalia,sargaon,jawaja
52,________,______,_____,ajmer,1,sarmalia,pilani,jawaja
53,________,_____,_____,ajmer,1,sarmalia,nayasar,jawaja
54,________,______,_____,ajmer,1,sarmalia,makreda,jawaja
55,________ ___________,________ ___________,_____,ajmer,1,nundri mendratan,nundri mendratan,jawaja
56,________ ___________,______ __ ______,_____,ajmer,1,nundri mendratan,bhulato's badia,jawaja
57,________ ___________,______,_____,ajmer,1,nundri mendratan,sirola,jawaja
58,________ ___________,_______ ______,_____,ajmer,1,nundri mendratan,ratanpura sardara,jawaja
59,________ ___________,__________ (_______),_____,ajmer,1,nundri mendratan,fatehpuria (rural),jawaja
60,_________,_________,_____,ajmer,1,durgwas,durgwas,jawaja
61,_________,_______,_____,ajmer,1,durgwas,ramavas,jawaja
62,_________,______ ____,_____,ajmer,1,durgwas,scorpion wide,jawaja
63,_________,___________,_____,ajmer,1,durgwas,lalpurdhanar,jawaja
64,_________,____ _________,_____,ajmer,1,durgwas,kheda devnarayan,jawaja
65,_________,______ ____,_____,ajmer,1,durgwas,khadia kheda,jawaja
66,_________,________ -1,_____,ajmer,1,durgwas,dholadata -1,jawaja
67,_________,________,_____,ajmer,1,durgwas,bhairukheda,jawaja
68,______,______,_____,ajmer,1,rupnagar,rupnagar,jawaja
69,______,______ _____,_____,ajmer,1,rupnagar,fatehgarh salla,jawaja
70,______,________,_____,ajmer,1,rupnagar,joharkheda,jawaja
71,______,_________,_____,ajmer,1,rupnagar,chaudanimi,jawaja
72,______,_________,_____,ajmer,1,rupnagar,chaudanimi,jawaja
73,______,_______,_____,ajmer,1,rupnagar,devpura,jawaja
74,__________,__________,_____,ajmer,1,beawarkhas,beawarkhas,jawaja
75,__________,__________,_____,ajmer,1,beawarkhas,rehmankheda,jawaja
76,__________,______,_____,ajmer,1,beawarkhas,saradhana,jawaja
77,__________,_________,_____,ajmer,1,beawarkhas,gopalpura,jawaja
78,__________,_________,_____,ajmer,1,beawarkhas,bhagwanpura,jawaja
79,__________,_________,_____,ajmer,1,beawarkhas,harrajpura,jawaja
80,__________,_________,_____,ajmer,1,beawarkhas,sambhupura,jawaja
81,_________,_________,_____,ajmer,1,rajiawas,rajiawas,jawaja
82,_________,_______,_____,ajmer,1,rajiawas,kalinjar,jawaja
83,______,______,_____,ajmer,1,gohana,gohana,jawaja
84,______,_________,_____,ajmer,1,gohana,raitkheda,jawaja
85,______,____,_____,ajmer,1,gohana,sanwa,jawaja
86,______,_______ ______,_____,ajmer,1,gohana,ramkheda dhannar,jawaja
87,______,______,_____,ajmer,1,attamad,attamad,jawaja
88,______,_____ _______,_____,ajmer,1,attamad,ramsar mohalla,jawaja
89,______,_______,_____,ajmer,1,attamad,jaitpura,jawaja
90,______,________,_____,ajmer,1,attamad,balikheda,jawaja
91,______,_______,_____,ajmer,1,attamad,shahpura,jawaja
92,______,______,_____,ajmer,1,sarveena,sarveena,jawaja
93,______,_____ _______,_____,ajmer,1,sarveena,jaitgarh bamania,jawaja
94,______,________,_____,ajmer,1,sarveena,surajpura,jawaja
95,______,________,_____,ajmer,1,sarveena,naharpura,jawaja
96,______,____,_____,ajmer,1,sarveena,karla,jawaja
97,______,_______ _____,_____,ajmer,1,sarveena,rajpura bochan,jawaja
98,_______,_______,_____,ajmer,1,surdia,surdia,jawaja
99,_______,_______,_____,ajmer,1,surdia,devkheda,jawaja
100,_______,________,_____,ajmer,1,surdia,sangarwas,jawaja
101,_______,_______,_____,ajmer,1,surdia,kaladda,jawaja
102,_______,_______,_____,ajmer,1,surdia,shivnagari,jawaja
103,____ ____,____ ____,_____,ajmer,1,narbad kheda,narbad kheda,jawaja
104,____ ____,_______,_____,ajmer,1,narbad kheda,bhojpura,jawaja
105,____ ____,_________,_____,ajmer,1,narbad kheda,singhadia,jawaja
106,____ ____,______,_____,ajmer,1,narbad kheda,lamba,jawaja
107,____ ____,__________,_____,ajmer,1,narbad kheda,pratappura,jawaja
108,____ ____,________,_____,ajmer,1,narbad kheda,kesarpura,jawaja
109,____ ____,_____ _____,_____,ajmer,1,narbad kheda,ramsar inda,jawaja
110,________,________,_____,ajmer,1,surajpura,surajpura,jawaja
111,________,________,_____,ajmer,1,surajpura,banarkheda,jawaja
112,________,______ ___,_____,ajmer,1,surajpura,badiya bhau,jawaja
113,________,______ __ ___ ____,_____,ajmer,1,surajpura,jalia. habitat rupa,jawaja
114,________,______ __ ___ ____,_____,ajmer,1,surajpura,jalia. vas lala,jawaja
115,________,______ __ ___ ______,_____,ajmer,1,surajpura,jalia. durga,jawaja
116,________,______ __ ___ ____,_____,ajmer,1,surajpura,jalia. habitat,jawaja
117,_______,_______,_____,ajmer,1,ravatmal,ravatmal,jawaja
118,_______,_______- II,_____,ajmer,1,ravatmal,lassani-ii,jawaja
119,_______,_______,_____,ajmer,1,ravatmal,bagalia,jawaja
120,_______,_________,_____,ajmer,1,ravatmal,khedadanti,jawaja
121,_______,_______,_____,ajmer,1,lotian,lotian,jawaja
122,_______,________ _____,_____,ajmer,1,lotian,soniana wide,jawaja
123,_______,_____ _______,_____,ajmer,1,lotian,bihar ratanpura,jawaja
124,_______,________,_____,ajmer,1,lotian,soniana,jawaja
125,________,________,_____,ajmer,1,kishanpura,kishanpura,jawaja
126,________,__________,_____,ajmer,1,kishanpura,himmatpura,jawaja
127,________,______,_____,ajmer,1,kishanpura,bhasapa,jawaja
128,________,________,_____,ajmer,1,kishanpura,ghazipura,jawaja
129,________,__________,_____,ajmer,1,kishanpura,rajendra,jawaja
130,________,_______,_____,ajmer,1,kishanpura,thakarwas,jawaja
131,________,______ ______,_____,ajmer,1,kishanpura,badia lumba,jawaja
132,________,_____,_____,ajmer,1,kishanpura,bassi,jawaja
133,________,_________,_____,ajmer,1,kishanpura,kalikankar,jawaja
134,________,______,_____,ajmer,1,kishanpura,bhasapa,jawaja
135,________,______,_____,ajmer,1,kishanpura,bhasapa,jawaja
136,________,______,_____,ajmer,1,kishanpura,bhasapa,jawaja
137,________,______,_____,ajmer,1,kishanpura,bhasapa,jawaja
138,______,______,_____,ajmer,1,devata,devata,jawaja
139,______,____ __ ______,_____,ajmer,1,devata,hira's badia,jawaja
140,______,_________,_____,ajmer,1,devata,bhagipura,jawaja
141,______,____ ____,_____,ajmer,1,devata,kalat kheda,jawaja
142,______,________,_____,ajmer,1,devata,kishanpura,jawaja
143,______,_______,_____,ajmer,1,devata,kanpura,jawaja
144,______,______ ___,_____,ajmer,1,devata,badia naga,jawaja
145,______,_____,_____,ajmer,1,devata,anakar,jawaja
146,______,_______,_____,ajmer,1,devata,malpura,jawaja
147,______,______,_____,ajmer,1,devata,jagpura,jawaja
148,______,________,_____,ajmer,1,devata,hathankheda,jawaja
149,_____,_____,_____,ajmer,1,barakhan,barakhan,jawaja
150,_____,_______,_____,ajmer,1,barakhan,negalia,jawaja
151,_____,______,_____,ajmer,1,barakhan,gogela,jawaja
152,_____,________,_____,ajmer,1,barakhan,dholadata,jawaja
153,_____,________,_____,ajmer,1,barakhan,rhodiana,jawaja
154,_____,_______,_____,ajmer,1,barakhan,bujelle,jawaja
155,_____,______,_____,ajmer,1,barakhan,media,jawaja
156,_____,_____ __ ____,_____,ajmer,1,barakhan,dharma ki talai,jawaja
157,___,___,_____,ajmer,1,asana,asana,jawaja
158,___,______,_____,ajmer,1,asana,baghmal,jawaja
159,___,_______,_____,ajmer,1,asana,devalata,jawaja
160,___,________,_____,ajmer,1,asana,ganeshpura,jawaja
161,___,________,_____,ajmer,1,asana,satukheda,jawaja
162,___,_____,_____,ajmer,1,asana,sarupa,jawaja
163,___,______ _________,_____,ajmer,1,asana,ranaata bhagwanpura,jawaja
164,___,_______,_____,ajmer,1,asana,kadiaapa,jawaja
165,___,_____ ________,_____,ajmer,1,asana,sarupa algeria,jawaja
166,________,________,_____,ajmer,1,nandwada,nandwada,masuda
167,________,_______,_____,ajmer,1,nandwada,shivpuri,masuda
168,________,__________,_____,ajmer,1,nandwada,indrapura,masuda
169,________,__________ _,_____,ajmer,1,nandwada,pratappura.,masuda
170,________,______,_____,ajmer,1,nandwada,uttami,masuda
171,________,________ ( ___ ____ ),_____,ajmer,1,nandwada,kakranadi (non -populated),masuda
172,________,________,_____,ajmer,1,nandwada,debipura,masuda
173,________,_________,_____,ajmer,1,nandwada,bhalesaria,masuda
174,_________,_________,_____,ajmer,1,dholadanta,dholadanta,masuda
175,_________,_______,_____,ajmer,1,dholadanta,raghpura,masuda
176,_________,_______,_____,ajmer,1,dholadanta,kumpura,masuda
177,_________,__________,_____,ajmer,1,dholadanta,jaswantpura,masuda
178,_________,_________,_____,ajmer,1,dholadanta,bhawanikheda,masuda
179,_______ _____,_______ _____,_____,ajmer,1,andheri deori,andheri deori,masuda
180,_______ _____,________,_____,ajmer,1,andheri deori,mundoti,masuda
181,_______ _____,_______,_____,ajmer,1,andheri deori,khimpura,masuda
182,_______ _____,______,_____,ajmer,1,andheri deori,bharkala,masuda
183,_______ _____,_____,_____,ajmer,1,andheri deori,carry,masuda
184,_______ _____,_______ ____,_____,ajmer,1,andheri deori,rampura gana,masuda
185,_______,_______,_____,ajmer,1,nayagaon,nayagaon,masuda
186,_______,____ __ ______,_____,ajmer,1,nayagaon,gaina's badia,masuda
