current_gp_name,old_gp_villages,old_gp_village_fixed,district,ps,order,gp_goog_translate,gp_village_goog_translate,ps_goog_translate,gp_village_fixed
भूडोल,भूडोल,भूडोल,ajmer,श्रीनगर,1,bhudol,bhudol,srinagar,
भूडोल,लाडपुरा,लाडपुरा,ajmer,श्रीनगर,2,bhudol,ladpura,srinagar,
भूडोल,गुवारडी,गुवारडी,ajmer,श्रीनगर,3,bhudol,guvardi,srinagar,
रसूलपुरा,रसूलपुरा,रसूलपुरा,ajmer,श्रीनगर,4,rasulpura,rasulpura,srinagar,
रसूलपुरा,मदारपुरा,मदारपुरा,ajmer,श्रीनगर,5,rasulpura,madarpura,srinagar,
बुहारू,रामपुरा,रामपुरा,ajmer,किशनगढ़,6,buharu,rampura,kishangarh,
बुहारू,बुहारू,बुहारू,ajmer,किशनगढ़,7,buharu,buharu,kishangarh,
बुहारू,कांकनियावास,कांकनियावास,ajmer,किशनगढ़,8,buharu,kingiawas,kishangarh,
नलू,नलू,नलू,ajmer,किशनगढ़,9,nelu,nelu,kishangarh,
नलू,मुण्डोती,मुण्डोती,ajmer,किशनगढ़,10,nelu,mundoti,kishangarh,
नलू,नोहरिया,नोहरिया,ajmer,किशनगढ़,11,nelu,noharia,kishangarh,
बघेरा,बघेरा,बघेरा,ajmer,केकडी,12,baghera,baghera,kakdi,
बघेरा,काबरिया,काबरिया,ajmer,केकडी,13,baghera,kabaria,kakdi,
बघेरा,नयागांव,नयागांव,ajmer,केकडी,14,baghera,nayagaon,kakdi,
कणोज,कणोज,कणोज,ajmer,केकडी,15,kanoj,kanoj,kakdi,
कणोज,देवलियाखुर्द,देवलियाखुर्द,ajmer,केकडी,16,kanoj,devaliyakhurd,kakdi,
मोलकिया,मोलकिया,मोलकिया,ajmer,केकडी,17,molakia,molakia,Loading...,
मोलकिया,आमली,आमली,ajmer,केकडी,18,Loading...,amali,Loading...,
मोलकिया,तीतरिया,तीतरिया,ajmer,केकडी,19,Loading...,pariya,Loading...,
मोलकिया,कोहडा,कोहडा,ajmer,केकडी,20,Loading...,kohda,Loading...,
मोलकिया,नाईखेडा,नाईखेडा,ajmer,केकडी,21,Loading...,nikheda,Loading...,
मोलकिया,मण्डा,मण्डा,ajmer,केकडी,22,Loading...,manda,Loading...,
मोलकिया,केकडी ग्रामीण,केकडी ग्रामीण,ajmer,केकडी,23,Loading...,cacdi rural,Loading...,
पारा,पारा,पारा,ajmer,केकडी,24,mercury,mercury,Loading...,
पारा,कालीतलाई का खेडा,कालीतलाई का खेडा,ajmer,केकडी,25,Loading...,kalitlai's kheda,Loading...,
गोरधां,गोरधां,गोरधां,ajmer,केकडी,26,gordhan,gordhan,Loading...,
